asset_id,as_of_date,age_years,material,pipe_size,length_m,pressure_zone,past_break_count,breaks_last_3y,criticality,years_since_last_break,had_prior_break,predicted_median_days,predicted_median_months,risk_probability_12m,risk_probability_24m,risk_probability_36m,raw_risk_probability_12m,raw_risk_probability_24m,raw_risk_probability_36m,driver_1_feature,driver_1_value,driver_1_direction,driver_1_contribution,driver_2_feature,driver_2_value,driver_2_direction,driver_2_contribution,driver_3_feature,driver_3_value,driver_3_direction,driver_3_contribution,criticality_was_imputed,criticality_used,criticality_normalized,urgency_score,priority_score,priority_rank,priority_percentile,priority_band,recommended_action
138772,2026-01-01,7.334852871722212,PVC,450.0,0.894897379031368,KIT 6,0,0,,,0,286172.7939030188,9402.17397163864,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.3282579019587615e-11,1.1768051408906542e-09,1.3112987446360829e-08,length_m,0.894897,reduces risk,-1.4141234159469604,age_years,7.33485,reduces risk,-0.8794634342193604,material,PVC,reduces risk,-0.3308873997848423,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14003,13.605232307027828,MONITOR,routine monitoring
138774,2026-01-01,7.334852871722212,PVC,450.0,1.16172363203324,KIT 6,0,0,,,0,284845.1464744536,9358.554269268892,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.3709686041766798e-11,1.2108228297351564e-09,1.3467224834754908e-08,length_m,1.16172,reduces risk,-1.409473180770874,age_years,7.33485,reduces risk,-0.8794634342193604,material,PVC,reduces risk,-0.3308873997848423,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14004,13.599062133645955,MONITOR,routine monitoring
138780,2026-01-01,7.334852871722212,PVC,300.0,1.14845514075233,KIT 5,0,0,,,0,742710.5198414616,24401.668037256175,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.286543443011127e-14,2.1796142508811883e-12,3.547404645886959e-11,length_m,1.14846,reduces risk,-2.1536407470703125,age_years,7.33485,reduces risk,-0.9803780317306519,material,PVC,reduces risk,-0.3660522362952179,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14005,13.592891960264083,MONITOR,routine monitoring
138782,2026-01-01,7.334852871722212,PVC,300.0,12.1081719250383,KIT 5,0,0,,,0,180588.67373795982,5933.21994251906,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,2.750892385321944e-10,1.784686268568715e-08,1.6578714735247037e-07,age_years,7.33485,reduces risk,-1.1404138803482056,length_m,12.1082,reduces risk,-0.6880905628204346,material,PVC,reduces risk,-0.39801418542992906,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14006,13.586721786882212,MONITOR,routine monitoring
138786,2026-01-01,7.334852871722212,PVC,300.0,11.7816084760379,KIT 5,0,0,,,0,261496.55982623034,8591.439161419506,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,2.444473353830077e-11,2.0373517533191746e-09,2.190599784429616e-08,length_m,11.7816,reduces risk,-1.1555722951889038,age_years,7.33485,reduces risk,-1.0559775829315186,material,PVC,reduces risk,-0.3875196452754608,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14007,13.58055161350034,MONITOR,routine monitoring
138790,2026-01-01,7.334852871722212,PVC,150.0,0.973792549577651,KIT 5,0,0,,,0,1215819.761006933,39945.61731475169,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,2.5095867812541196e-16,5.950287078765277e-14,1.1788265028383238e-12,length_m,0.973793,reduces risk,-2.204500198364258,age_years,7.33485,reduces risk,-1.1215128898620605,material,PVC,reduces risk,-0.47352775382387335,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14008,13.574381440118467,MONITOR,routine monitoring
138792,2026-01-01,7.334852871722212,PVC,150.0,0.934925157596236,KIT 5,0,0,,,0,1215819.761006933,39945.61731475169,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,2.5095867812541196e-16,5.950287078765277e-14,1.1788265028383238e-12,length_m,0.934925,reduces risk,-2.204500198364258,age_years,7.33485,reduces risk,-1.1215128898620605,material,PVC,reduces risk,-0.47352775382387335,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14009,13.568211266736595,MONITOR,routine monitoring
138794,2026-01-01,7.334852871722212,PVC,200.0,2.15948623603184,KIT 5,0,0,,,0,878867.9370322687,28875.104196218195,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,3.444748514205503e-15,6.545409662526294e-13,1.1392126068630941e-11,length_m,2.15949,reduces risk,-1.9114298820495605,age_years,7.33485,reduces risk,-1.0658519268035889,material,PVC,reduces risk,-0.4951856232182763,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14010,13.562041093354724,MONITOR,routine monitoring
138796,2026-01-01,7.334852871722212,PVC,200.0,2.09348892325376,KIT 5,0,0,,,0,878867.9370322687,28875.104196218195,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,3.444748514205503e-15,6.545409662526294e-13,1.1392126068630941e-11,length_m,2.09349,reduces risk,-1.9114298820495605,age_years,7.33485,reduces risk,-1.0658519268035889,material,PVC,reduces risk,-0.4951856232182763,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14011,13.55587091997285,MONITOR,routine monitoring
138798,2026-01-01,7.334852871722212,PVC,450.0,1.42289955110151,KIT 5,0,0,,,0,277982.8110307483,9133.093033721376,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.617929799295013e-11,1.4055093315361e-09,1.5482408751953446e-08,length_m,1.4229,reduces risk,-1.757893443107605,age_years,7.33485,reduces risk,-0.7131484150886536,pressure_zone,KIT 5,reduces risk,-0.31365441213711165,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14012,13.549700746590979,MONITOR,routine monitoring
