asset_id,driver_rank,feature,feature_value,risk_contribution_log_time,direction
18000,2,age_years,58.3366,0.36983606219291687,raises risk
18000,3,had_prior_break,1,0.1767989993095398,raises risk
82644,1,length_m,12.8551,-0.8667327761650085,reduces risk
82644,2,material,CI,0.2998758311223355,raises risk
82644,3,age_years,58.3366,0.21251755952835083,raises risk
82646,1,length_m,3.84192,-1.5169531106948853,reduces risk
82646,2,age_years,21.5857,-0.6035175323486328,reduces risk
82646,3,material,PVC,-0.31121856398749514,reduces risk
82648,1,age_years,21.5857,-0.469245582818985,reduces risk
82648,2,material,PVC,-0.3508427308370301,reduces risk
82648,3,length_m,30.7712,-0.33463507890701294,reduces risk
82650,1,length_m,1.90143,-1.568456768989563,reduces risk
82650,2,age_years,21.5857,-0.6142438054084778,reduces risk
82650,3,material,PVC,-0.29917453226153157,reduces risk
63200,1,length_m,35.851,-0.7647813558578491,reduces risk
63200,2,age_years,21.5857,-0.43457525968551636,reduces risk
63200,3,material,PVC,-0.3504380925987789,reduces risk
82652,1,length_m,7.99428,-0.9776139259338379,reduces risk
82652,2,age_years,33,-0.20433993637561798,reduces risk
82652,3,material,DI,-0.1278821648702433,reduces risk
82654,1,length_m,121.22,0.673406183719635,raises risk
82654,2,age_years,33,-0.28477129340171814,reduces risk
82654,3,material,DI,-0.11588618611494894,reduces risk
55200,1,length_m,156.24,0.4550057053565979,raises risk
55200,2,age_years,33,-0.2894176244735718,reduces risk
55200,3,material,DI,-0.1380352411615604,reduces risk
82656,1,age_years,33,-0.31819793581962585,reduces risk
82656,2,length_m,140.776,0.1853056102991104,raises risk
82656,3,material,DI,-0.12677165044806316,reduces risk
82658,1,length_m,8.38033,-0.8598516583442688,reduces risk
82658,2,age_years,33,-0.22408145666122437,reduces risk
82658,3,material,DI,-0.1394279133201053,reduces risk
61828,1,age_years,59.0019,0.5974213480949402,raises risk
61828,2,past_break_count,1,0.5351940393447876,raises risk
61828,3,material,DI,0.20631012471858412,raises risk
82660,1,age_years,72.0015,-0.7280428409576416,reduces risk
82660,2,length_m,11.8872,-0.6508131623268127,reduces risk
82660,3,material,CI,0.3111891011321859,raises risk
31180,1,past_break_count,5,1.553399682044983,raises risk
31180,2,years_since_last_break,0.0290831,0.34015947580337524,raises risk
31180,3,material,CI,0.33337580387160415,raises risk
82662,1,length_m,1.37645,-2.651020050048828,reduces risk
82662,2,material,DI,-0.09937418929985142,reduces risk
82662,3,age_years,49.0003,-0.09371478110551834,reduces risk
82664,1,length_m,9.48936,-1.1382514238357544,reduces risk
82664,2,age_years,49.0003,0.34836888313293457,raises risk
82664,3,pipe_size,200,0.21679629385471344,raises risk
5680,1,age_years,49.0003,0.3234359622001648,raises risk
5680,2,length_m,229.681,0.29050880670547485,raises risk
5680,3,pipe_size,200,0.26663950085639954,raises risk
5950,1,length_m,175.053,0.48191025853157043,raises risk
5950,2,pipe_size,300,-0.1611182540655136,reduces risk
5950,3,past_break_count,0,-0.07555337995290756,reduces risk
82668,1,age_years,18.0538,-0.8465614318847656,reduces risk
82668,2,length_m,13.0238,-0.46260687708854675,reduces risk
82668,3,material,PVC,-0.39019202994313673,reduces risk
69140,1,material,PVC,-0.3636744945870305,reduces risk
69140,2,age_years,22.7356,-0.3561623990535736,reduces risk
69140,3,length_m,58.4073,-0.07831380516290665,reduces risk
82670,1,length_m,7.3471,-0.9258017539978027,reduces risk
82670,2,age_years,22.7356,-0.4916794002056122,reduces risk
82670,3,material,PVC,-0.27463106607683585,reduces risk
82672,1,length_m,6.60273,-0.6725488305091858,reduces risk
82672,2,material,DI,-0.14239082306085038,reduces risk
82672,3,pressure_zone,KIT 6,0.10874849948595511,raises risk
37840,1,length_m,300.395,0.9381604790687561,raises risk
37840,2,past_break_count,1,0.3679960370063782,raises risk
37840,3,pressure_zone,KIT 6,0.2439158396809944,raises risk
82674,1,length_m,7.59776,-1.4867175817489624,reduces risk
82674,2,pipe_size,150,0.0777321457862854,raises risk
82674,3,past_break_count,0,-0.07039867341518402,reduces risk
82676,1,length_m,112.681,0.46792659163475037,raises risk
82676,2,pressure_zone,KIT 6,0.1541420565408771,raises risk
82676,3,pipe_size,150,0.08409460633993149,raises risk
82678,1,length_m,25.2989,-0.9542470574378967,reduces risk
82678,2,material,PVC,-0.34169987810673774,reduces risk
82678,3,pressure_zone,KIT 5,0.3003713878861163,raises risk
55440,1,material,PVC,-0.42881661598585197,reduces risk
55440,2,pipe_size,300,-0.12112817913293839,reduces risk
55440,3,length_m,87.7166,-0.09729841351509094,reduces risk
68380,1,material,PVC,-0.5069961993831384,reduces risk
68380,2,age_years,23.5871,-0.30136191844940186,reduces risk
68380,3,length_m,71.0405,-0.24860210716724396,reduces risk
82680,1,length_m,7.84291,-1.8542568683624268,reduces risk
82680,2,pressure_zone,KIT 5,-0.28924397607624996,reduces risk
82680,3,material,DI,-0.08339226174211944,reduces risk
82682,1,length_m,7.58761,-1.7494004964828491,reduces risk
82682,2,pressure_zone,KIT 5,-0.28903127876401413,reduces risk
82682,3,material,DI,-0.08287462567022885,reduces risk
82684,1,length_m,1.52578,-2.9533088207244873,reduces risk
82684,2,age_years,50.0024,-0.3631865084171295,reduces risk
82684,3,pressure_zone,KIT 5,-0.33065267484926153,reduces risk
30210,1,length_m,254.289,0.5600367188453674,raises risk
30210,2,age_years,50.0024,0.1370014250278473,raises risk
30210,3,pressure_zone,KIT 5,0.08467381824448239,raises risk
82686,1,past_break_count,1,0.50737464427948,raises risk
82686,2,length_m,150.222,-0.358379065990448,reduces risk
82686,3,age_years,50.0024,0.2719495892524719,raises risk
82688,1,pressure_zone,KIT 2W,-0.3803975817463652,reduces risk
82688,2,length_m,16.9263,-0.3764747083187103,reduces risk
82688,3,age_years,52.0011,0.2995527684688568,raises risk
14050,1,age_years,52.0011,0.29404589533805847,raises risk
14050,2,length_m,187.77,0.2493070363998413,raises risk
14050,3,pipe_size,300,-0.2003062516450882,reduces risk
910,1,length_m,83.834,-0.5580837726593018,reduces risk
910,2,pipe_size,300,-0.30504781007766724,reduces risk
910,3,past_break_count,0,-0.09261435270309448,reduces risk
82690,1,length_m,5.62696,-1.1233479976654053,reduces risk
82690,2,material,PVC,-0.4438429681285925,reduces risk
82690,3,pressure_zone,KIT 2W,-0.3770130007505941,reduces risk
31260,1,material,PVC,-0.7917990798705432,reduces risk
31260,2,length_m,108.282,0.33900102972984314,raises risk
31260,3,pressure_zone,KIT 2W,-0.30127732866458246,reduces risk
82692,1,length_m,12.8581,-0.6691495776176453,reduces risk
82692,2,pipe_size,200,0.13936415314674377,raises risk
82692,3,age_years,40.5867,0.09818350523710251,raises risk
16800,1,past_break_count,2,0.8715469837188721,raises risk
16800,2,years_since_last_break,3.04355,-0.3434151876717806,reduces risk
16800,3,material,CI,0.33236991154262796,raises risk
82694,1,length_m,1.80619,-1.3913143873214722,reduces risk
82694,2,material,CI,0.37398112443770515,raises risk
82694,3,pipe_size,200,-0.16941849887371063,reduces risk
2840,1,length_m,253.707,0.4150357246398926,raises risk
2840,2,material,CI,0.3507850027708628,raises risk
2840,3,past_break_count,1,0.2614804804325104,raises risk
36120,1,age_years,72.0015,-0.47861331701278687,reduces risk
36120,2,material,CI,0.3370877131310408,raises risk
36120,3,length_m,64.7341,0.11302653700113297,raises risk
82696,1,length_m,2.12974,-2.1738312244415283,reduces risk
82696,2,age_years,72.0015,-0.9363645315170288,reduces risk
82696,3,material,CI,0.3345731703884667,raises risk
28620,1,length_m,129.665,0.898415207862854,raises risk
28620,2,pipe_size,200,0.18979167938232422,raises risk
28620,3,age_years,40.5867,0.07753341645002365,raises risk
82698,1,length_m,2.17432,-1.6503781080245972,reduces risk
82698,2,age_years,40.5867,0.14831261336803436,raises risk
82698,3,material,DI,-0.07531920290421112,reduces risk
82700,1,length_m,9.63525,-1.0512568950653076,reduces risk
82700,2,pipe_size,200,0.18703898787498474,raises risk
82700,3,age_years,40.5867,0.13904432952404022,raises risk
82702,1,length_m,7.76887,-1.3841958045959473,reduces risk
82702,2,material,PVC,-0.28037444314031745,reduces risk
82702,3,pressure_zone,KIT 5,-0.21028661527088843,reduces risk
82704,1,material,PVC,-0.30351523762146826,reduces risk
82704,2,pressure_zone,KIT 5,-0.22588475435622968,reduces risk
82704,3,years_since_last_break,missing,0.10528054693713784,raises risk
58230,1,material,PVC,-0.5032690930638637,reduces risk
58230,2,length_m,154.143,0.38853535056114197,raises risk
58230,3,age_years,29.4188,-0.24903321266174316,reduces risk
82706,1,material,PVC,-0.5235556486986752,reduces risk
82706,2,length_m,184.732,0.38811713457107544,raises risk
82706,3,age_years,29.4188,-0.11512279510498047,reduces risk
76140,1,length_m,104.526,0.44489842653274536,raises risk
76140,2,material,PVC,-0.41121451270373655,reduces risk
76140,3,age_years,17.3337,-0.3452295958995819,reduces risk
82710,1,length_m,11.8888,-0.8637942671775818,reduces risk
82710,2,age_years,55.0018,0.33849090337753296,raises risk
