asset_id,as_of_date,age_years,material,pipe_size,length_m,pressure_zone,past_break_count,breaks_last_3y,years_since_last_break,had_prior_break,break_next_12m,split
11640,2015-01-01T00:00:00,61.9999041733,CI,150,252.169346362,KIT 4,0,0,,0,1,train
11650,2015-01-01T00:00:00,61.5864802152,CI,150,0.337718595985,KIT 4,0,0,,0,0,train
11660,2015-01-01T00:00:00,61.5864802152,CI,300,21.5814391849,KIT 4,0,0,,0,0,train
11670,2015-01-01T00:00:00,65.9999863105,CI,150,75.6336145519,KIT 4,0,0,,0,0,train
11680,2015-01-01T00:00:00,65.9999863105,CI,150,126.434998522,KIT 4,0,0,,0,0,train
11690,2015-01-01T00:00:00,65.9999863105,CI,150,32.5840213631,KIT 4,0,0,,0,0,train
1170,2015-01-01T00:00:00,41.9994934872,DI,150,157.671298689,KIT 5,0,0,,0,0,train
11710,2015-01-01T00:00:00,56.0011499209,CI,150,215.169200986,KIT 4,2,2,0.944577917411,1,0,train
11720,2015-01-01T00:00:00,56.0011499209,CI,150,200.361844566,KIT 4,0,0,,0,0,train
11730,2015-01-01T00:00:00,30.5030219649,DI,300,122.907706064,KIT 4,0,0,,0,0,train
11740,2015-01-01T00:00:00,30.5030219649,DI,300,152.701535265,KIT 4,0,0,,0,0,train
11750,2015-01-01T00:00:00,30.5030219649,DI,300,19.6407368492,KIT 4,0,0,,0,0,train
11790,2015-01-01T00:00:00,70.0000684477,CI,150,91.0529328809,KIT 4,0,0,,0,0,train
1180,2015-01-01T00:00:00,41.9994934872,DI,150,120.252778025,KIT 5,0,0,,0,0,train
11820,2015-01-01T00:00:00,43.0015674518,DI,250,140.699155164,KIT 5,0,0,,0,0,train
11830,2015-01-01T00:00:00,44.0009035093,DI,250,72.7715060715,KIT 5,1,0,6.18219402178,1,0,train
11840,2015-01-01T00:00:00,44.0009035093,DI,250,26.6824047809,KIT 5,0,0,,0,0,train
11850,2015-01-01T00:00:00,44.0009035093,DI,200,31.8194067917,KIT 5,0,0,,0,0,train
11860,2015-01-01T00:00:00,44.0009035093,DI,200,69.2050654521,KIT 5,0,0,,0,0,train
11870,2015-01-01T00:00:00,44.0009035093,DI,200,146.581322465,KIT 5,0,0,,0,0,train
11880,2015-01-01T00:00:00,44.0009035093,DI,200,84.2951406605,KIT 5,0,0,,0,0,train
11890,2015-01-01T00:00:00,44.0009035093,DI,200,82.8252564345,KIT 5,0,0,,0,0,train
1190,2015-01-01T00:00:00,41.9994934872,DI,150,148.101084715,KIT 5,2,0,14.2480680644,1,0,train
