source_file,source_row_number,raw__source_object_id,source_object_id,raw__asset_id,asset_id,raw__status,status,raw__pressure_zone,pressure_zone,raw__road_segment_id,road_segment_id,raw__map_label,map_label,raw__category,category,raw__pipe_size,pipe_size,raw__material,material,raw__lined,lined,raw__lined_date,lined_date,raw__lined_material,lined_material,raw__installation_date,installation_date,raw__acquisition,acquisition,raw__consultant,consultant,raw__ownership,ownership,raw__bridge_main,bridge_main,raw__bridge_details,bridge_details,raw__criticality,criticality,raw__rel_cleaning_area,rel_cleaning_area,raw__rel_cleaning_subarea,rel_cleaning_subarea,raw__undersized,undersized,raw__shallow_main,shallow_main,raw__condition_score,condition_score,raw__oversized,oversized,raw__cleaned,cleaned,raw__length_m,length_m,invalid_primary_key,invalid_pipe_size,model_asset_eligible
Water_Mains_5473643541506873803.csv,6116,84985,84985,80048,80048,ACTIVE,ACTIVE,KIT 4,KIT 4,7010,7010,7.6m 200mm  CI,7.6m 200mm  CI,TREATED,TREATED,200,200,CI,CI,NO,NO,,,NONE,NONE,1/1/1946 12:00:00 AM,1946-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,6,6,2,2,37,37,N,N,N,N,7.75,7.75,N,N,Y,Y,7.61565187964818,7.61565187965,False,False,True
Water_Mains_5473643541506873803.csv,6117,84986,84986,80050,80050,ACTIVE,ACTIVE,KIT 4,KIT 4,7011,7011,8.1m 200mm  CI,8.1m 200mm  CI,TREATED,TREATED,200,200,CI,CI,NO,NO,,,NONE,NONE,1/1/1946 12:00:00 AM,1946-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,6,6,2,2,37,37,N,N,N,N,7.75,7.75,N,N,Y,Y,8.10850840937553,8.10850840938,False,False,True
Water_Mains_5473643541506873803.csv,6118,84988,84988,81232,81232,ACTIVE,ACTIVE,KIT 4,KIT 4,11065,11065,10.2m 150mm  PVC,10.2m 150mm  PVC,TREATED,TREATED,150,150,PVC,PVC,NO,NO,,,NONE,NONE,7/20/2009 12:00:00 AM,2009-07-20T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,5,5,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,10.2236240699837,10.22362407,False,False,True
Water_Mains_5473643541506873803.csv,6119,84989,84989,81234,81234,ACTIVE,ACTIVE,KIT 4,KIT 4,11066,11066,11.1m 150mm  PVC,11.1m 150mm  PVC,TREATED,TREATED,150,150,PVC,PVC,NO,NO,,,NONE,NONE,7/20/2009 12:00:00 AM,2009-07-20T00:00:00,PURCHASED,PURCHASED,NA,NA,KITCHENER,KITCHENER,N,N,,,5,5,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,11.0980273800225,11.09802738,False,False,True
Water_Mains_5473643541506873803.csv,6120,84990,84990,81236,81236,ACTIVE,ACTIVE,KIT 4,KIT 4,11066,11066,9.8m 150mm  PVC,9.8m 150mm  PVC,TREATED,TREATED,150,150,PVC,PVC,NO,NO,,,NONE,NONE,7/20/2009 12:00:00 AM,2009-07-20T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,6,6,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,9.83275126567966,9.83275126568,False,False,True
Water_Mains_5473643541506873803.csv,6121,84991,84991,76441,76441,ACTIVE,ACTIVE,KIT 4,KIT 4,40040,40040,60.8m 150mm  PVC,60.8m 150mm  PVC,TREATED,TREATED,150,150,PVC,PVC,NO,NO,,,NONE,NONE,7/20/2009 12:00:00 AM,2009-07-20T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,5,5,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,60.8454758866926,60.8454758867,False,False,True
Water_Mains_5473643541506873803.csv,6122,84993,84993,81378,81378,ACTIVE,ACTIVE,KIT 4,KIT 4,10663,10663,7.4m 300mm  PVC,7.4m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,8/5/2010 12:00:00 AM,2010-08-05T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,8,8,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,7.36413498284977,7.36413498285,False,False,True
Water_Mains_5473643541506873803.csv,6123,84994,84994,81242,81242,ACTIVE,ACTIVE,KIT 4,KIT 4,10659,10659,2.5m 300mm  PVC,2.5m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,8/5/2010 12:00:00 AM,2010-08-05T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,8,8,2,2,9,9,N,N,N,N,9.35,9.35,N,N,N,N,2.54820535457443,2.54820535457,False,False,True
Water_Mains_5473643541506873803.csv,6124,84995,84995,81244,81244,ACTIVE,ACTIVE,KIT 4,KIT 4,10659,10659,4m 300mm  PVC,4m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,8/5/2010 12:00:00 AM,2010-08-05T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,7,7,2,2,9,9,N,N,N,N,9.35,9.35,N,N,N,N,3.99979929523306,3.99979929523,False,False,True
Water_Mains_5473643541506873803.csv,6125,84996,84996,76753,76753,ACTIVE,ACTIVE,KIT 4,KIT 4,10650,10650,66.1m 300mm  PVC,66.1m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,8/5/2010 12:00:00 AM,2010-08-05T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,8,8,2,2,9,9,N,N,N,N,9.35,9.35,N,N,N,N,66.0610659616997,66.0610659617,False,False,True
